 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    41  0.3120E+02  0.0000E+00  0.1393E-03  0.1500E-02  0.2881E-10  0.1994E+00  0.1954E+00  0.3081E-01  0.4693E-01  0.5246E+00  0.2931E-01  0.1198E+04  0.1198E+04  0.1198E+04  0.2029E-03  0.6805E-02  0.7823E-10  0.2009E+01 -0.3190E-08  0.6761E-02 -0.1218E-02 -0.1579E-02 -0.7870E-02  0.2283E-02  0.4275E-02  0.4281E-02
    42  0.3198E+02  0.0000E+00  0.1388E-03  0.1497E-02  0.2869E-10  0.1997E+00  0.1956E+00  0.3006E-01 -0.1302E-02  0.5181E+00  0.2409E-01  0.1194E+04  0.1194E+04  0.1194E+04  0.1788E-03  0.6843E-02  0.7761E-10  0.1950E+01 -0.3782E-08  0.6801E-02 -0.1191E-02 -0.1586E-02 -0.5206E-02  0.3392E-03  0.3533E-02  0.4193E-02
    43  0.3276E+02  0.0000E+00  0.1400E-03  0.1490E-02  0.2884E-10  0.2030E+00  0.1957E+00  0.3095E-01  0.9302E-02  0.5107E+00  0.9965E-02  0.1189E+04  0.1189E+04  0.1189E+04  0.1991E-03  0.6862E-02  0.7683E-10  0.1517E+01 -0.1354E-08  0.6836E-02 -0.1215E-02 -0.1639E-02 -0.7433E-02 -0.1353E-02  0.5752E-02  0.4426E-02
    44  0.3354E+02  0.0000E+00  0.1397E-03  0.1485E-02  0.2843E-10  0.2073E+00  0.1957E+00  0.3103E-01  0.1050E-01  0.5133E+00 -0.1128E-01  0.1187E+04  0.1187E+04  0.1187E+04  0.1913E-03  0.6824E-02  0.7690E-10  0.1276E+01 -0.1231E-09  0.6806E-02 -0.1209E-02 -0.1576E-02 -0.8600E-02 -0.3822E-03  0.5777E-02  0.4243E-02
    45  0.3432E+02  0.0000E+00  0.1385E-03  0.1476E-02  0.2780E-10  0.2093E+00  0.1955E+00  0.3053E-01  0.1307E-01  0.5236E+00 -0.2351E-01  0.1179E+04  0.1179E+04  0.1179E+04  0.1917E-03  0.6738E-02  0.7749E-10  0.1416E+01  0.9184E-09  0.6716E-02 -0.1173E-02 -0.1591E-02 -0.7980E-02  0.7204E-04  0.5201E-02  0.4301E-02
    46  0.3510E+02  0.0000E+00  0.1392E-03  0.1474E-02  0.2813E-10  0.2033E+00  0.1952E+00  0.3118E-01  0.9422E-02  0.5336E+00 -0.2034E-01  0.1179E+04  0.1179E+04  0.1179E+04  0.1963E-03  0.6659E-02  0.7825E-10  0.1314E+01 -0.3454E-09  0.6639E-02 -0.1192E-02 -0.1614E-02 -0.8426E-02  0.2803E-03  0.4470E-02  0.4519E-02
    47  0.3588E+02  0.0000E+00  0.1382E-03  0.1469E-02  0.2787E-10  0.2006E+00  0.1948E+00  0.2959E-01 -0.4779E-02  0.5376E+00 -0.1192E-02  0.1177E+04  0.1177E+04  0.1177E+04  0.1947E-03  0.6615E-02  0.7853E-10  0.1438E+01  0.1922E-08  0.6592E-02 -0.1194E-02 -0.1615E-02 -0.6020E-02  0.1298E-04  0.4161E-02  0.4574E-02
    48  0.3666E+02  0.0000E+00  0.1369E-03  0.1456E-02  0.2706E-10  0.2145E+00  0.1944E+00  0.3199E-01 -0.2620E-02  0.5373E+00  0.2337E-01  0.1170E+04  0.1170E+04  0.1170E+04  0.1951E-03  0.6582E-02  0.7828E-10  0.1505E+01  0.2629E-08  0.6558E-02 -0.1193E-02 -0.1580E-02 -0.6478E-02 -0.6715E-03  0.4765E-02  0.4478E-02
    49  0.3744E+02  0.0000E+00  0.1368E-03  0.1454E-02  0.2681E-10  0.2174E+00  0.1939E+00  0.2954E-01  0.2860E-01  0.5265E+00  0.3333E-01  0.1170E+04  0.1170E+04  0.1170E+04  0.1809E-03  0.6628E-02  0.7760E-10  0.1364E+01  0.5344E-08  0.6608E-02 -0.1142E-02 -0.1585E-02 -0.8052E-02 -0.5357E-04  0.5783E-02  0.4290E-02
    50  0.3822E+02  0.0000E+00  0.1367E-03  0.1453E-02  0.2686E-10  0.2168E+00  0.1936E+00  0.3089E-01 -0.7568E-02  0.5136E+00  0.3330E-01  0.1168E+04  0.1168E+04  0.1168E+04  0.1939E-03  0.6703E-02  0.7671E-10  0.1412E+01  0.3574E-08  0.6682E-02 -0.1108E-02 -0.1628E-02 -0.7532E-02  0.8928E-03  0.4089E-02  0.4242E-02
    51  0.3900E+02  0.0000E+00  0.1355E-03  0.1450E-02  0.2633E-10  0.2125E+00  0.1934E+00  0.3034E-01  0.2028E-01  0.5074E+00  0.1220E-01  0.1164E+04  0.1164E+04  0.1164E+04  0.2136E-03  0.6742E-02  0.7624E-10  0.1848E+01  0.3984E-08  0.6707E-02 -0.1138E-02 -0.1638E-02 -0.7536E-02  0.1294E-02  0.4471E-02  0.4295E-02
