 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    24  0.1794E+02  0.0000E+00  0.2992E-03  0.2007E-02  0.1824E-09  0.2384E+00  0.2027E+00  0.4035E-01 -0.1957E-01  0.4969E+00 -0.4067E-01  0.4458E+04  0.4458E+04  0.4458E+04  0.5185E-03  0.8423E-02  0.8639E-10  0.1970E+01  0.1202E-07  0.8254E-02 -0.1329E-02 -0.1711E-02 -0.9147E-02  0.2589E-02  0.5473E-02  0.3525E-02
    25  0.1872E+02  0.0000E+00  0.2965E-03  0.2004E-02  0.1801E-09  0.2454E+00  0.2012E+00  0.4136E-01 -0.5724E-02  0.5102E+00 -0.4385E-01  0.4445E+04  0.4445E+04  0.4445E+04  0.4991E-03  0.8306E-02  0.8778E-10  0.2211E+01  0.1094E-07  0.8097E-02 -0.1381E-02 -0.1720E-02 -0.7712E-02 -0.1161E-02  0.7987E-02  0.3733E-02
    26  0.1950E+02  0.0000E+00  0.2950E-03  0.2006E-02  0.1786E-09  0.2540E+00  0.1997E+00  0.3984E-01  0.1208E-01  0.5192E+00 -0.2537E-01  0.4439E+04  0.4439E+04  0.4439E+04  0.4933E-03  0.8237E-02  0.8880E-10  0.2438E+01  0.7789E-08  0.7984E-02 -0.1199E-02 -0.1705E-02 -0.9145E-02 -0.6931E-03  0.9010E-02  0.3368E-02
    27  0.2028E+02  0.0000E+00  0.2930E-03  0.1997E-02  0.1755E-09  0.2616E+00  0.1986E+00  0.4056E-01 -0.1786E-01  0.5215E+00 -0.4753E-02  0.4428E+04  0.4428E+04  0.4428E+04  0.5431E-03  0.8179E-02  0.8905E-10  0.2511E+01  0.5174E-08  0.7914E-02 -0.1140E-02 -0.1711E-02 -0.9501E-02 -0.1693E-03  0.8614E-02  0.3295E-02
    28  0.2106E+02  0.0000E+00  0.2921E-03  0.1994E-02  0.1742E-09  0.2694E+00  0.1977E+00  0.4029E-01  0.1236E-01  0.5180E+00  0.1567E-01  0.4416E+04  0.4416E+04  0.4416E+04  0.5540E-03  0.8172E-02  0.8888E-10  0.2515E+01  0.2162E-08  0.7912E-02 -0.1233E-02 -0.1717E-02 -0.7919E-02  0.2017E-03  0.9480E-02  0.3470E-02
    29  0.2184E+02  0.0000E+00  0.2920E-03  0.1995E-02  0.1736E-09  0.2754E+00  0.1974E+00  0.3997E-01  0.1486E-01  0.5108E+00  0.2086E-01  0.4409E+04  0.4409E+04  0.4409E+04  0.5378E-03  0.8194E-02  0.8837E-10  0.2367E+01  0.5129E-09  0.7958E-02 -0.1204E-02 -0.1722E-02 -0.7723E-02  0.9534E-03  0.8067E-02  0.3391E-02
    30  0.2262E+02  0.0000E+00  0.2915E-03  0.1989E-02  0.1709E-09  0.2829E+00  0.1975E+00  0.3986E-01  0.2384E-01  0.5065E+00  0.1306E-01  0.4399E+04  0.4399E+04  0.4399E+04  0.5558E-03  0.8184E-02  0.8783E-10  0.2190E+01 -0.1823E-08  0.7983E-02 -0.1105E-02 -0.1725E-02 -0.1026E-01 -0.9738E-03  0.9622E-02  0.3249E-02
    31  0.2340E+02  0.0000E+00  0.2894E-03  0.1989E-02  0.1680E-09  0.2964E+00  0.1981E+00  0.4060E-01  0.8243E-02  0.5074E+00 -0.1007E-01  0.4391E+04  0.4391E+04  0.4391E+04  0.6146E-03  0.8137E-02  0.8775E-10  0.1864E+01 -0.2899E-08  0.7994E-02 -0.1120E-02 -0.1689E-02 -0.8726E-02  0.2990E-03  0.8852E-02  0.3223E-02
    32  0.2418E+02  0.0000E+00  0.2877E-03  0.1986E-02  0.1647E-09  0.3059E+00  0.1991E+00  0.4162E-01  0.3731E-01  0.5175E+00 -0.2999E-01  0.4378E+04  0.4378E+04  0.4378E+04  0.6182E-03  0.8041E-02  0.8822E-10  0.1560E+01 -0.2283E-08  0.7940E-02 -0.1294E-02 -0.1716E-02 -0.9266E-02  0.7390E-03  0.8457E-02  0.3728E-02
    33  0.2496E+02  0.0000E+00  0.2868E-03  0.1980E-02  0.1635E-09  0.3119E+00  0.2003E+00  0.4085E-01  0.4340E-01  0.5368E+00 -0.3918E-01  0.4372E+04  0.4372E+04  0.4372E+04  0.6073E-03  0.7915E-02  0.8931E-10  0.1491E+01 -0.2405E-08  0.7822E-02 -0.1273E-02 -0.1769E-02 -0.7692E-02 -0.3092E-03  0.6779E-02  0.3974E-02
