# ZVals	eperpErrAvg	eperpNoErr	eperpErrB	elongErrAvg	elongNoErr	elongErrB	transErrAvg	transNoErr	transErrB
2.100000e+01	4.704000e+00	5.103000e+00	8.768124e-02	2.641000e+01	2.769000e+01	5.586144e-01	6.137275e+00	6.713427e+00	8.679417e-01
2.250000e+01	4.841000e+00	4.958000e+00	8.909545e-02	2.288500e+01	2.572000e+01	1.520280e-01	5.736473e+00	6.412826e+00	8.325155e-01
2.400000e+01	4.574500e+00	4.939000e+00	1.590990e-02	1.777000e+01	2.142000e+01	6.434672e-01	5.485972e+00	6.262525e+00	7.970893e-01
2.550000e+01	4.496000e+00	4.775000e+00	1.251579e-01	1.693500e+01	1.991000e+01	1.042983e+00	5.335671e+00	6.062124e+00	7.262369e-01
2.700000e+01	4.505000e+00	4.715000e+00	1.159655e-01	1.400000e+01	1.574000e+01	9.192388e-02	5.160321e+00	5.811623e+00	6.376714e-01
2.850000e+01	4.319000e+00	4.697000e+00	5.303301e-02	1.409500e+01	1.520000e+01	1.520280e-01	5.060120e+00	5.761523e+00	7.085238e-01
3.000000e+01	4.085500e+00	4.625000e+00	8.803479e-02	1.384500e+01	1.472000e+01	6.752870e-01	4.884770e+00	5.561122e+00	6.553845e-01
3.150000e+01	3.760500e+00	4.609000e+00	5.762920e-02	1.449000e+01	1.525000e+01	1.704127e+00	4.684369e+00	5.410822e+00	5.845322e-01
3.300000e+01	3.559000e+00	4.336000e+00	1.145513e-01	1.577000e+01	1.601000e+01	1.916259e+00	4.458918e+00	5.210421e+00	6.022453e-01
3.450000e+01	3.524000e+00	4.105000e+00	9.616652e-02	3.118500e+01	1.619000e+01	1.071267e+00	4.483968e+00	4.909820e+00	6.199584e-01
3.600000e+01	3.661000e+00	3.935000e+00	1.138442e-01	1.877000e+01	1.667000e+01	2.503158e+00	4.208417e+00	4.659319e+00	6.376714e-01
3.750000e+01	3.797000e+00	4.237000e+00	2.757716e-02	2.100500e+01	1.953000e+01	2.994597e+00	4.083166e+00	4.509018e+00	5.491060e-01
3.900000e+01	3.731000e+00	3.968000e+00	2.828427e-03	2.303500e+01	3.001000e+01	4.727009e+00	3.907816e+00	4.408818e+00	5.668191e-01
4.050000e+01	4.010500e+00	4.441000e+00	2.863782e-02	2.135500e+01	2.907000e+01	3.171374e+00	3.782565e+00	4.258517e+00	5.136798e-01
4.200000e+01	3.914500e+00	4.070000e+00	4.596194e-03	1.768500e+01	2.147000e+01	2.138998e+00	3.632265e+00	3.957916e+00	4.782536e-01
4.350000e+01	3.987500e+00	3.740000e+00	1.410678e-01	1.604000e+01	1.888000e+01	4.242641e-01	3.557114e+00	3.657315e+00	4.251143e-01
4.500000e+01	3.888500e+00	3.731000e+00	1.891511e-01	1.586000e+01	1.850000e+01	7.212489e-01	3.481964e+00	3.557114e+00	4.428274e-01
4.650000e+01	3.960000e+00	3.679000e+00	1.414214e-01	1.424000e+01	1.825000e+01	5.939697e-01	3.406814e+00	3.507014e+00	4.251143e-01
4.800000e+01	3.815000e+00	3.759000e+00	6.010408e-02	1.343500e+01	1.614000e+01	3.712311e-01	3.356713e+00	3.456914e+00	4.251143e-01
4.950000e+01	3.826000e+00	3.544000e+00	4.949747e-02	1.235000e+01	1.396000e+01	4.949747e-02	3.331663e+00	3.356713e+00	4.074012e-01
5.100000e+01	3.571000e+00	3.820000e+00	4.454773e-02	1.198000e+01	1.310000e+01	2.616295e-01	3.256513e+00	3.356713e+00	3.896881e-01
5.250000e+01	3.556500e+00	3.546000e+00	8.308505e-02	1.139500e+01	1.325000e+01	3.570889e-01	3.256513e+00	3.306613e+00	3.896881e-01
5.400000e+01	3.429000e+00	3.542000e+00	8.343860e-02	1.116900e+01	1.331000e+01	8.845906e-01	3.181363e+00	3.256513e+00	4.428274e-01
5.550000e+01	3.452000e+00	3.566000e+00	2.043539e-01	1.082150e+01	1.418000e+01	1.618214e+00	3.131263e+00	3.206413e+00	4.428274e-01
5.700000e+01	3.694000e+00	3.578000e+00	7.990307e-02	1.073500e+01	1.366000e+01	2.085965e-01	3.081162e+00	3.156313e+00	3.719750e-01
5.850000e+01	3.420000e+00	3.449000e+00	2.404163e-02	9.305000e+00	1.382000e+01	1.057125e+00	2.980962e+00	3.156313e+00	3.365488e-01
6.000000e+01	3.502500e+00	3.795000e+00	3.641600e-02	1.031800e+01	1.435000e+01	1.755039e+00	2.955912e+00	3.156313e+00	3.542619e-01
6.150000e+01	3.443500e+00	3.743000e+00	1.042983e-01	9.786500e+00	1.597000e+01	1.140917e+00	2.905812e+00	3.106212e+00	3.542619e-01
6.300000e+01	3.525500e+00	3.760000e+00	4.136575e-02	9.649000e+00	1.571000e+01	8.987327e-01	2.905812e+00	3.056112e+00	3.542619e-01
6.450000e+01	3.471500e+00	3.929000e+00	3.570889e-02	9.572000e+00	1.711000e+01	5.572001e-01	2.830661e+00	3.056112e+00	3.365488e-01
6.600000e+01	3.528500e+00	3.750000e+00	5.055813e-02	9.246000e+00	1.545000e+01	4.447702e-01	2.830661e+00	2.905812e+00	3.365488e-01
6.750000e+01	3.466500e+00	3.712000e+00	3.217336e-02	8.960000e+00	1.742000e+01	5.932626e-01	2.780561e+00	2.955912e+00	3.011226e-01
6.900000e+01	3.322500e+00	3.891000e+00	1.997577e-01	8.884000e+00	1.424000e+01	7.438763e-01	2.755511e+00	2.905812e+00	2.834095e-01
7.050000e+01	3.286500e+00	3.986000e+00	2.068287e-01	8.733500e+00	9.703000e+00	9.733325e-01	2.755511e+00	2.755511e+00	2.834095e-01
7.200000e+01	3.482000e+00	3.501000e+00	2.368808e-01	8.503000e+00	9.585000e+00	9.029754e-01	2.755511e+00	2.655311e+00	2.834095e-01
7.350000e+01	3.246000e+00	3.404000e+00	2.015254e-01	8.482000e+00	9.348000e+00	7.919596e-01	2.730461e+00	2.655311e+00	2.656964e-01
7.500000e+01	3.102000e+00	3.297000e+00	1.322290e-01	7.783000e+00	9.456000e+00	8.181225e-01	2.680361e+00	2.655311e+00	2.656964e-01
7.650000e+01	2.895000e+00	3.269000e+00	1.845549e-01	7.536500e+00	9.466000e+00	9.563619e-01	2.605210e+00	2.655311e+00	2.834095e-01
7.800000e+01	2.955500e+00	3.251000e+00	2.167282e-01	7.459000e+00	9.509000e+00	7.827672e-01	2.580160e+00	2.655311e+00	2.656964e-01
7.950000e+01	2.993500e+00	3.356000e+00	1.976363e-01	7.288000e+00	9.465000e+00	9.319667e-01	2.530060e+00	2.655311e+00	3.011226e-01
8.100000e+01	2.977000e+00	3.505000e+00	1.583919e-01	7.877000e+00	9.625000e+00	8.669129e-01	2.530060e+00	2.655311e+00	3.011226e-01
8.250000e+01	2.930500e+00	3.426000e+00	9.722718e-02	8.708500e+00	9.233000e+00	6.523060e-01	2.505010e+00	2.655311e+00	3.188357e-01
8.400000e+01	2.781000e+00	3.052000e+00	7.283200e-02	7.816500e+00	9.104000e+00	1.098490e+00	2.429860e+00	2.555110e+00	3.719750e-01
8.550000e+01	2.852500e+00	2.890000e+00	4.631549e-02	7.270000e+00	9.465000e+00	3.528463e-01	2.404810e+00	2.555110e+00	3.542619e-01
8.700000e+01	2.687500e+00	3.040000e+00	1.735947e-01	8.357000e+00	8.960000e+00	6.300321e-01	2.354709e+00	2.555110e+00	3.896881e-01
8.850000e+01	2.594500e+00	2.926000e+00	1.446033e-01	8.430000e+00	9.011000e+00	5.501291e-01	2.329659e+00	2.555110e+00	3.719750e-01
9.000000e+01	2.707500e+00	2.866000e+00	9.015611e-02	7.198000e+00	8.187000e+00	1.180868e-01	2.329659e+00	2.555110e+00	3.719750e-01
9.150000e+01	2.836500e+00	3.061000e+00	3.358757e-02	6.437000e+00	7.670000e+00	5.324514e-01	2.304609e+00	2.505010e+00	3.896881e-01
9.300000e+01	2.575500e+00	3.211000e+00	3.924443e-02	7.148500e+00	7.222000e+00	9.793429e-02	2.279559e+00	2.505010e+00	3.719750e-01
9.450000e+01	2.438500e+00	2.921000e+00	3.535534e-04	7.102000e+00	7.626000e+00	1.046518e-01	2.254509e+00	2.454910e+00	3.896881e-01
9.600000e+01	2.414000e+00	2.700000e+00	7.141778e-02	6.491000e+00	7.340000e+00	3.273904e-01	2.204409e+00	2.354709e+00	3.896881e-01
9.750000e+01	2.408000e+00	2.724000e+00	6.858936e-02	6.312000e+00	7.450000e+00	3.655742e-01	2.204409e+00	2.354709e+00	3.896881e-01
