 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   704.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    24  0.1794E+02  0.0000E+00  0.1525E-03  0.1563E-02  0.3543E-10  0.1826E+00  0.1958E+00  0.3034E-01 -0.1079E-02  0.5032E+00 -0.8692E-02  0.1569E+04  0.1569E+04  0.1569E+04  0.1906E-03  0.7067E-02  0.7810E-10  0.1077E+01 -0.2496E-08  0.7055E-02 -0.1273E-02 -0.1539E-02 -0.1024E-01 -0.1077E-02  0.6415E-02  0.4010E-02
    25  0.1872E+02  0.0000E+00  0.1509E-03  0.1563E-02  0.3535E-10  0.1966E+00  0.1959E+00  0.3096E-01  0.1319E-01  0.5129E+00 -0.3066E-01  0.1564E+04  0.1564E+04  0.1564E+04  0.1704E-03  0.7008E-02  0.7879E-10  0.1146E+01 -0.8480E-09  0.6994E-02 -0.1162E-02 -0.1601E-02 -0.5001E-02 -0.8227E-03  0.3773E-02  0.3990E-02
    26  0.1950E+02  0.0000E+00  0.1507E-03  0.1564E-02  0.3521E-10  0.1965E+00  0.1959E+00  0.2985E-01  0.2603E-01  0.5287E+00 -0.4140E-01  0.1560E+04  0.1560E+04  0.1560E+04  0.2267E-03  0.6911E-02  0.8004E-10  0.1313E+01  0.3425E-08  0.6892E-02 -0.1205E-02 -0.1643E-02 -0.5414E-02  0.1476E-02  0.2758E-02  0.4343E-02
    27  0.2028E+02  0.0000E+00  0.1519E-03  0.1566E-02  0.3542E-10  0.1897E+00  0.1957E+00  0.3078E-01  0.5538E-02  0.5441E+00 -0.4093E-01  0.1553E+04  0.1553E+04  0.1553E+04  0.1842E-03  0.6818E-02  0.8134E-10  0.1451E+01  0.5356E-08  0.6794E-02 -0.1286E-02 -0.1607E-02 -0.1030E-01  0.7685E-03  0.4953E-02  0.4561E-02
    28  0.2106E+02  0.0000E+00  0.1504E-03  0.1568E-02  0.3522E-10  0.1913E+00  0.1954E+00  0.3092E-01  0.1224E-02  0.5564E+00 -0.1250E-01  0.1549E+04  0.1549E+04  0.1549E+04  0.1755E-03  0.6729E-02  0.8242E-10  0.1296E+01  0.7729E-08  0.6709E-02 -0.1096E-02 -0.1588E-02 -0.6065E-02 -0.1245E-02  0.4670E-02  0.4101E-02
    29  0.2184E+02  0.0000E+00  0.1503E-03  0.1565E-02  0.3499E-10  0.1962E+00  0.1949E+00  0.3003E-01  0.1914E-01  0.5549E+00  0.2287E-01  0.1545E+04  0.1545E+04  0.1545E+04  0.2377E-03  0.6718E-02  0.8246E-10  0.1190E+01  0.1157E-07  0.6702E-02 -0.1163E-02 -0.1574E-02 -0.7765E-02 -0.1827E-02  0.6196E-02  0.4227E-02
    30  0.2262E+02  0.0000E+00  0.1500E-03  0.1576E-02  0.3511E-10  0.1954E+00  0.1945E+00  0.3048E-01  0.1486E-02  0.5402E+00  0.5309E-01  0.1543E+04  0.1543E+04  0.1543E+04  0.1749E-03  0.6834E-02  0.8179E-10  0.1331E+01  0.1198E-07  0.6814E-02 -0.1277E-02 -0.1601E-02 -0.7606E-02  0.1346E-02  0.4340E-02  0.4443E-02
    31  0.2340E+02  0.0000E+00  0.1482E-03  0.1569E-02  0.3434E-10  0.2074E+00  0.1941E+00  0.2997E-01  0.1418E-01  0.5182E+00  0.6512E-01  0.1536E+04  0.1536E+04  0.1536E+04  0.1748E-03  0.6977E-02  0.8003E-10  0.1946E+01  0.1102E-07  0.6935E-02 -0.1133E-02 -0.1655E-02 -0.6113E-02 -0.2522E-03  0.4255E-02  0.4084E-02
    32  0.2418E+02  0.0000E+00  0.1493E-03  0.1565E-02  0.3442E-10  0.2081E+00  0.1937E+00  0.3057E-01 -0.1497E-02  0.4999E+00  0.4889E-01  0.1533E+04  0.1533E+04  0.1533E+04  0.2267E-03  0.7082E-02  0.7854E-10  0.2066E+01  0.7402E-08  0.7035E-02 -0.1056E-02 -0.1589E-02 -0.8779E-02  0.1719E-02  0.4758E-02  0.3580E-02
    33  0.2496E+02  0.0000E+00  0.1480E-03  0.1555E-02  0.3376E-10  0.2080E+00  0.1935E+00  0.2978E-01  0.1292E-01  0.4925E+00  0.9143E-02  0.1527E+04  0.1527E+04  0.1527E+04  0.2371E-03  0.7103E-02  0.7780E-10  0.2200E+01  0.8012E-08  0.7051E-02 -0.1165E-02 -0.1597E-02 -0.6588E-02 -0.1693E-02  0.6091E-02  0.3820E-02
